StrainID	Species_Old	Genus_Old	Phylum	GPS	Lat	Long	Associated	General	Specific	Fruits	Fruit.Family	Fruit.Type	Rotting	Plant.Genus	Plant.Species	Common.Name	Other.Associations	Notes	Set	Morpho	SetID	IsoTemp	Specific.Location	State	Collected.By	X	X.1	Species	Subphylum	Genus	gluc_percent
yHKS226	Saccharomyces paradoxus	Saccharomyces	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Betula	Betula populifolia	Grey Birch	NA	NA	#112	a	YHKS_#112	30	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS226	Saccharomyces paradoxus	Saccharomycotina	Saccharomyces	NA
yHKS227	Kluyveromyces lactis	Kluyveromyces	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Betula	Betula alleghaniensis	Yellow Birch	NA	NA	#115	b	YHKS_#115	30	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS227	Kluyveromyces lactis	Saccharomycotina	Kluyveromyces	NA
yHKS23	Mrakia gelida	Mrakia	Basidiomycota	43.134054, -88.222331	43.134054	-88.222331	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Pyrus	Pyrus communis	NA	NA	NA	#24	a	YHKS_#24	10	 Sussex, WI	Wisconsin	Kayla Sylvester	TRUE	yHKS23	Mrakia gelida	Basidiomycota	Mrakia	NA
yHKS230	Metschnikowia fructicola	Metschnikowia	Ascomycota	43.695818, -87.718146	43.695818	-87.718146	Tree	Plant Matter	Bark	NA	NA	NA	NA	Betula	Betula alleghaniensis	Yellow Birch	NA	NA	#55	a	YHKS_#55	30	Indian Mound Park, Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS230	Metschnikowia pulcherrima sp. complex	Saccharomycotina	Metschnikowia	NA
yHKS231	Metschnikowia viticola	Metschnikowia	Ascomycota	43.695818, -87.718146	43.695818	-87.718146	Tree	Plant Matter	Bark	NA	NA	NA	NA	Betula	Betula alleghaniensis	Yellow Birch	NA	NA	#55	b	YHKS_#55	30	Indian Mound Park, Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS231	Metschnikowia viticola	Saccharomycotina	Metschnikowia	NA
yHKS232	Cryptococcus gastricus	Cryptococcus	Basidiomycota	40.196441, -92.579533	40.196441	-92.579533	Tree	Soil	Soil	NA	NA	NA	NA	Quercus	Quercus alba	White Oak	NA	NA	#1M	a	YHKS_#1M	30	Kirksville, MO	Missouri	William Alexander	TRUE	yHKS232	Cryptococcus gastricus	Basidiomycota	Cryptococcus	NA
yHKS233	Kluyveromyces lactis	Kluyveromyces	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#90	b	YHKS_#90	30	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS233	Kluyveromyces lactis	Saccharomycotina	Kluyveromyces	NA
yHKS234	Kluyveromyces lactis	Kluyveromyces	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Betula	Betula alleghaniensis	Yellow Birch	NA	NA	#115	a	YHKS_#115	30	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS234	Kluyveromyces lactis	Saccharomycotina	Kluyveromyces	NA
yHKS235	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Betula	Betula papyrifera	White Birch	NA	NA	#113	b	YHKS_#113	30	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS235	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces	NA
yHKS236	Pichia naganishii	Pichia	Ascomycota	43.400119, -87.876439	43.400119	-87.876439	Tree	Plant Matter	Bark	NA	NA	NA	NA	Gleditsia	Gleditsia triacanthos	Honey Locust	NA	NA	#87	a	YHKS_#87	30	Port Washington, WI (Whitefish Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS236	Ogataea naganishii	Saccharomycotina	Ogataea	NA
yHKS237	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#108	a	YHKS_#108	30	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS237	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	NA
yHKS238	Metschnikowia fructicola	Metschnikowia	Ascomycota	43.395533, -87.866440	43.395533	-87.86644	Tree	Plant Matter	Flower	NA	NA	NA	NA	Fraxinus	Fraxinus pennsylvanica	Green Ash	Flower vine	NA	#69	a	YHKS_#69	30	Port Washington, WI (Upper Lake Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS238	Metschnikowia pulcherrima sp. complex	Saccharomycotina	Metschnikowia	NA
yHKS239	Cryptococcus gastricus	Cryptococcus	Basidiomycota	38.816346, -92.383262	38.816346	-92.383262	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer sp.	Maple	NA	NA	#7M	a	YHKS_#7M	10	Cooper's Landing, MO	Missouri	William Alexander	TRUE	yHKS239	Cryptococcus gastricus	Basidiomycota	Cryptococcus	NA
yHKS24	Cystofilobasidium capitatum	Cystofilobasidium	Basidiomycota	43.134054, -88.222331	43.134054	-88.222331	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Quercus	Quercus sp.	Oak	NA	NA	#16	a	YHKS_#16	10	 Sussex, WI	Wisconsin	Kayla Sylvester	TRUE	yHKS24	Cystofilobasidium capitatum	Basidiomycota	Cystofilobasidium	NA
yHKS240	Cryptococcus gastricus	Cryptococcus	Basidiomycota	40.196441, -92.579533	40.196441	-92.579533	Tree	Soil	Soil	NA	NA	NA	NA	Quercus	Quercus alba	White Oak	NA	NA	#4M	a	YHKS_#4M	10	Kirksville, MO	Missouri	William Alexander	TRUE	yHKS240	Cryptococcus gastricus	Basidiomycota	Cryptococcus	NA
yHKS241	Rhodotorula nothofagi	Rhodotorula	Basidiomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#90	a	YHKS_#90	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS241	Rhodotorula nothofagi	Basidiomycota	Rhodotorula	NA
yHKS242	Nakazawaea holstii	Nakazawaea	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#94	a	YHKS_#94	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS242	Nakazawaea holstii	Saccharomycotina	Nakazawaea	NA
yHKS243	Rhodotorula nothofagi	Rhodotorula	Basidiomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#95	a	YHKS_#95	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS243	Rhodotorula nothofagi	Basidiomycota	Rhodotorula	NA
yHKS244	Candida santamariae var. membranifaciens	Candida	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Betula	Betula alleghaniensis	Yellow Birch	NA	NA	#98	a	YHKS_#98	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS244	Candida santamariae	Saccharomycotina	Candida	NA
yHKS245	Lachancea kluyveri	Lachancea	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Plant Matter	Bark	NA	NA	NA	NA	Betula	Betula populifolia	Grey Birch	NA	NA	#101	a	YHKS_#101	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS245	Lachancea kluyveri	Saccharomycotina	Lachancea	NA
yHKS246	Saccharomyces paradoxus	Saccharomyces	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#102	a	YHKS_#102	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS246	Saccharomyces paradoxus	Saccharomycotina	Saccharomyces	NA
yHKS247	Lachancea kluyveri	Lachancea	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#104	b	YHKS_#104	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS247	Lachancea kluyveri	Saccharomycotina	Lachancea	NA
yHKS248	Saccharomyces paradoxus	Saccharomyces	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#105	a	YHKS_#105	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS248	Saccharomyces paradoxus	Saccharomycotina	Saccharomyces	NA
yHKS249	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#106	a	YHKS_#106	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS249	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	NA
yHKS25	Mrakia gelida	Mrakia	Basidiomycota	43.161611, -88.188019	43.161611	-88.188019	Tree	Plant Matter	Leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	#20	b	YHKS_#20	10	 Lisbon, WI (Menominee Park)	Michigan	Kayla Sylvester	TRUE	yHKS25	Mrakia gelida	Basidiomycota	Mrakia	NA
yHKS250	Kazachstania kunashirensis	Kazachstania	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Populus	Populus tremuloides	American Aspen	NA	NA	#109	a	YHKS_#109	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS250	Kazachstania kunashirensis	Saccharomycotina	Kazachstania	NA
yHKS251	Kazachstania kunashirensis	Kazachstania	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Betula	Betula populifolia	Grey Birch	NA	NA	#110	a	YHKS_#110	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS251	Kazachstania kunashirensis	Saccharomycotina	Kazachstania	NA
yHKS252	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Betula	Betula papyrifera	White Birch	NA	NA	#111	a	YHKS_#111	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS252	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	NA
yHKS253	Saccharomyces paradoxus	Saccharomyces	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Betula	Betula populifolia	Grey Birch	NA	NA	#112	a	YHKS_#112	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS253	Saccharomyces paradoxus	Saccharomycotina	Saccharomyces	NA
yHKS254	Saccharomyces paradoxus	Saccharomyces	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Betula	Betula papyrifera	White Birch	NA	NA	#114	a	YHKS_#114	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS254	Saccharomyces paradoxus	Saccharomycotina	Saccharomyces	NA
yHKS255	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Betula	Betula alleghaniensis	Yellow Birch	NA	NA	#115	a	YHKS_#115	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS255	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	NA
yHKS256	Kwoniella newhampshirensis	Kwoniella	Basidiomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Insect	Insect	NA	NA	NA	NA	Betula	Betula alleghaniensis	Yellow Birch	Insect	NA	#118	a	YHKS_#118	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS256	Kwoniella newhampshirensis	Basidiomycota	Kwoniella	NA
yHKS257	Cryptococcus flavescens	Cryptococcus	Basidiomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Insect	Spider	NA	NA	NA	NA	Betula	Betula papyrifera	White Birch	Insect	NA	#122	a	YHKS_#122	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS257	Cryptococcus flavescens	Basidiomycota	Cryptococcus	NA
yHKS258	Lachancea kluyveri	Lachancea	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Betula	Betula papyrifera	White Birch	NA	NA	#113	b	YHKS_#113	30	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS258	Lachancea kluyveri	Saccharomycotina	Lachancea	NA
yHKS259	Rhodotorula colostri	Rhodotorula	Basidiomycota	40.196441, -92.579533	40.196441	-92.579533	Tree	Soil	Soil	NA	NA	NA	NA	Quercus	Quercus alba	White Oak	NA	NA	#4M	b	YHKS_#4M	30	Kirksville, MO	Missouri	William Alexander	TRUE	yHKS259	Rhodosporidiobolus colostri	Basidiomycota	Rhodosporidiobolus	NA
yHKS26	Cystofilobasidium capitatum	Cystofilobasidium	Basidiomycota	43.134054, -88.222331	43.134054	-88.222331	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Pyrus	Pyrus communis	NA	NA	NA	#24	b	YHKS_#24	10	 Sussex, WI	Wisconsin	Kayla Sylvester	TRUE	yHKS26	Cystofilobasidium capitatum	Basidiomycota	Cystofilobasidium	NA
yHKS260	Candida santamariae var. membranifaciens	Candida	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#88	a	YHKS_#88	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS260	Candida santamariae	Saccharomycotina	Candida	NA
yHKS261	Candida germanica	Candida	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#92	a	YHKS_#92	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS261	Candida germanica	Saccharomycotina	Candida	NA
yHKS262	Rhodotorula nothofagi	Rhodotorula	Basidiomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#92	b	YHKS_#92	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS262	Rhodotorula nothofagi	Basidiomycota	Rhodotorula	NA
yHKS263	Candida railenensis	Candida	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Plant Matter	Nut	Beech Nut	Fagaceae	Nut	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#93	a	YHKS_#93	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS263	Candida railenensis	Saccharomycotina	Candida	NA
yHKS264	Metschnikowia viticola	Metschnikowia	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Plant Matter	Bark	NA	NA	NA	NA	Betula	Betula alleghaniensis	Yellow Birch	NA	NA	#103	a	YHKS_#103	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS264	Metschnikowia viticola	Saccharomycotina	Metschnikowia	NA
yHKS265	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#104	a	YHKS_#104	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS265	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	NA
yHKS266	Kluyveromyces lactis	Kluyveromyces	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Betula	Betula alleghaniensis	Yellow Birch	NA	NA	#115	b	YHKS_#115	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS266	Kluyveromyces lactis	Saccharomycotina	Kluyveromyces	NA
yHKS267	Saccharomyces paradoxus	Saccharomyces	Ascomycota	38.927490, -92.348921	38.92749	-92.348921	Tree	Soil	Soil	NA	NA	NA	NA	Quercus	Quercus alba	White Oak	NA	NA	#6M	a	YHKS_#6M	10	Columbia, MO (Hinkson Creek)	Missouri	William Alexander	TRUE	yHKS267	Saccharomyces paradoxus	Saccharomycotina	Saccharomyces	NA
yHKS269	Mrakia gelida	Mrakia	Basidiomycota	43.695818, -87.718146	43.695818	-87.718146	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#48	a	YHKS_#48	10	Indian Mound Park, Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS269	Mrakia gelida	Basidiomycota	Mrakia	NA
yHKS27	Guehomyces pullulans	Guehomyces	Basidiomycota	43.114592, -88.491920	43.114592	-88.49192	Tree	Plant Matter	Bark	NA	NA	NA	NA	Acer	Acer sp.	Maple	NA	NA	#21	b	YHKS_#21	10	 Oconomowoc, WI  (Fowler Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS27	Tausonia pullulans	Basidiomycota	Tausonia	NA
yHKS270	Cystofilobasidium capitatum	Cystofilobasidium	Basidiomycota	43.395533, -87.866440	43.395533	-87.86644	Tree	Plant Matter	Flower	NA	NA	NA	NA	Fraxinus	Fraxinus pennsylvanica	Green Ash	Flower vine	NA	#69	a	YHKS_#69	10	Port Washington, WI (Upper Lake Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS270	Cystofilobasidium capitatum	Basidiomycota	Cystofilobasidium	NA
yHKS271	Cystofilobasidium capitatum	Cystofilobasidium	Basidiomycota	43.395533, -87.866440	43.395533	-87.86644	Tree	Plant Matter	Grass	NA	NA	NA	NA	Fraxinus	Fraxinus pennsylvanica	Green Ash	Grass	NA	#70	a	YHKS_#70	10	Port Washington, WI (Upper Lake Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS271	Cystofilobasidium capitatum	Basidiomycota	Cystofilobasidium	NA
yHKS272	Mrakia sp.	Mrakia	Basidiomycota	43.395533, -87.866440	43.395533	-87.86644	Tree	Plant Matter	Bark	NA	NA	NA	NA	Fraxinus	Fraxinus pennsylvanica	Green Ash	NA	NA	#73	a	YHKS_#73	10	Port Washington, WI (Upper Lake Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS272	Mrakia sp.	Basidiomycota	Mrakia	NA
yHKS273	Candida norvegica	Candida	Ascomycota	43.395533, -87.866440	43.395533	-87.86644	Tree	Plant Matter	Bark	NA	NA	NA	NA	Acer	Acer saccharum	Sugar Maple	NA	NA	#76	a	YHKS_#76	10	Port Washington, WI (Upper Lake Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS273	Candida norvegica	Saccharomycotina	Candida	NA
yHKS274	Mrakia sp.	Mrakia	Basidiomycota	43.395533, -87.866440	43.395533	-87.86644	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer rebrum	Red Maple	NA	NA	#77	a	YHKS_#77	10	Port Washington, WI (Upper Lake Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS274	Mrakia sp.	Basidiomycota	Mrakia	NA
yHKS275	Mrakia gelida	Mrakia	Basidiomycota	43.400119, -87.876439	43.400119	-87.876439	Tree	Soil	Soil	NA	NA	NA	NA	Fraxinus	Fraxinus pennsylvanica	Green Ash	NA	NA	#80	a	YHKS_#80	10	Port Washington, WI (Whitefish Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS275	Mrakia gelida	Basidiomycota	Mrakia	NA
yHKS276	Mrakia sp.	Mrakia	Basidiomycota	43.400119, -87.876439	43.400119	-87.876439	Tree	Moss	Moss	NA	NA	NA	NA	Acer	Acer saccharum	Sugar Maple	Moss	NA	#82	b	YHKS_#82	10	Port Washington, WI (Whitefish Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS276	Mrakia sp.	Basidiomycota	Mrakia	NA
yHKS277	Mrakia sp.	Mrakia	Basidiomycota	43.400119, -87.876439	43.400119	-87.876439	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer saccharum	Sugar Maple	NA	NA	#83	a	YHKS_#83	10	Port Washington, WI (Whitefish Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS277	Mrakia sp.	Basidiomycota	Mrakia	NA
yHKS278	Mrakia sp.	Mrakia	Basidiomycota	43.400119, -87.876439	43.400119	-87.876439	Tree	Plant Matter	Bark	NA	NA	NA	NA	Acer	Acer saccharum	Sugar Maple	NA	NA	#85	a	YHKS_#85	10	Port Washington, WI (Whitefish Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS278	Mrakia sp.	Basidiomycota	Mrakia	NA
yHKS279	Candida railenensis	Candida	Ascomycota	43.400119, -87.876439	43.400119	-87.876439	Tree	Plant Matter	Bark	NA	NA	NA	NA	Gleditsia	Gleditsia triacanthos	Honey Locust	NA	NA	#87	a	YHKS_#87	10	Port Washington, WI (Whitefish Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS279	Candida railenensis	Saccharomycotina	Candida	NA
yHKS28	Guehomyces pullulans	Guehomyces	Basidiomycota	43.161611, -88.188019	43.161611	-88.188019	Tree	Plant Matter	Bark	NA	NA	NA	NA	Acer	Acer sp.	Maple	NA	NA	#13	a	YHKS_#13	10	 Lisbon, WI (Menominee Park)	Michigan	Kayla Sylvester	TRUE	yHKS28	Tausonia pullulans	Basidiomycota	Tausonia	NA
yHKS280	Leucosporidiella creatinivora	Leucosporidiella	Basidiomycota	43.400119, -87.876439	43.400119	-87.876439	Tree	Plant Matter	Bark	NA	NA	NA	NA	Gleditsia	Gleditsia triacanthos	Honey Locust	NA	NA	#87	b	YHKS_#87	10	Port Washington, WI (Whitefish Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS280	Leucosporidium scottii	Basidiomycota	Leucosporidium	NA
yHKS281	Candida sp.	Candida	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#88	a	YHKS_#88	10	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS281	Candida sp.	Saccharomycotina	Candida	NA
yHKS282	Mrakia sp.	Mrakia	Basidiomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Plant Matter	Nut	Beech Nut	Fagaceae	Nut	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#93	a	YHKS_#93	10	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS282	Mrakia sp.	Basidiomycota	Mrakia	NA
yHKS283	Leucosporidium scottii	Leucosporidium	Basidiomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#94	a	YHKS_#94	10	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS283	Leucosporidium scottii	Basidiomycota	Leucosporidium	NA
yHKS284	Rhodotorula nothofagi	Rhodotorula	Basidiomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Betula	Betula populifolia	Grey Birch	NA	NA	#97	a	YHKS_#97	10	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS284	Rhodotorula nothofagi	Basidiomycota	Rhodotorula	NA
yHKS285	Kwoniella betulae	Kwoniella	Basidiomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Betula	Betula alleghaniensis	Yellow Birch	NA	NA	#98	a	YHKS_#98	10	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS285	Kwoniella betulae	Basidiomycota	Kwoniella	NA
yHKS286	Kwoniella betulae	Kwoniella	Basidiomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Plant Matter	Bark	NA	NA	NA	NA	Betula	Betula papyrifera	White Birch	NA	NA	#100	a	YHKS_#100	10	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS286	Kwoniella betulae	Basidiomycota	Kwoniella	NA
yHKS287	Curvibasidium cygneicollum	Curvibasidium	Basidiomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Plant Matter	Bark	NA	NA	NA	NA	Betula	Betula populifolia	Grey Birch	NA	NA	#101	b	YHKS_#101	10	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS287	Curvibasidium cygneicollum	Basidiomycota	Curvibasidium	NA
yHKS288	Mrakia sp.	Mrakia	Basidiomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#104	a	YHKS_#104	10	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS288	Mrakia sp.	Basidiomycota	Mrakia	NA
yHKS289	Mrakia sp.	Mrakia	Basidiomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#106	a	YHKS_#106	10	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS289	Mrakia sp.	Basidiomycota	Mrakia	NA
yHKS29	Cryptococcus gastricus	Cryptococcus	Basidiomycota	43.219818, -88.185685	43.219818	-88.185685	Tree	Plant Matter	Bark	NA	NA	NA	NA	Acer	Acer sp.	Maple	NA	NA	#5	a	YHKS_#5	10	 Richfield, WI (Minikani)	Michigan	Kayla Sylvester	TRUE	yHKS29	Cryptococcus gastricus	Basidiomycota	Cryptococcus	NA
yHKS290	Mrakia sp.	Mrakia	Basidiomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Populus	Populus tremuloides	American Aspen	NA	NA	#109	a	YHKS_#109	10	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS290	Mrakia sp.	Basidiomycota	Mrakia	NA
