IsoTemp	Yeast_sp	pval	Observed	Expected	Difference	BH_Padj
30	Candida bombi	0.2571	1	0.2571	0.7429	0.640986923076923
30	Blastobotrys buckinghamii	0.2577	1	0.2577	0.7423	0.640986923076923
30	Naganishia friedmannii	0.2577	1	0.2577	0.7423	0.640986923076923
30	Ogataea sp.	0.2578	1	0.2578	0.7422	0.640986923076923
30	Suhomyces atakaporum	0.2586	1	0.2586	0.7414	0.640986923076923
30	Zygoascus meyerae/hellenicus	0.2591	1	0.2591	0.7409	0.640986923076923
30	Wickerhamomyces hampsirensis	0.2599	1	0.2599	0.7401	0.640986923076923
30	Trichosporon asahii	0.2607	1	0.2607	0.7393	0.640986923076923
22	Saccharomyces eubayanus	0.2608	5	3.5421	1.4579	0.640986923076923
30	Pichia pastoris	0.261	1	0.261	0.739	0.640986923076923
30	Scheffersomyces stipitis	0.261	1	0.261	0.739	0.640986923076923
30	Debaryomyces sp.	0.2615	1	0.2615	0.7385	0.640986923076923
30	Ogataea dorogensis	0.2615	1	0.2615	0.7385	0.640986923076923
30	Sugiyamaella chiloensis	0.2618	1	0.2618	0.7382	0.640986923076923
30	Candida subhashii	0.2625	1	0.2625	0.7375	0.640986923076923
10	Pichia kluyveri	0.2632	3	1.8302	1.1698	0.640986923076923
30	Fibulobasidium inconspicuum	0.2632	1	0.2632	0.7368	0.640986923076923
30	Ogataea pini	0.2637	1	0.2637	0.7363	0.640986923076923
30	Ogataea zsoltii	0.2639	1	0.2639	0.7361	0.640986923076923
10	Papiliotrema flavescens	0.264	3	1.8328	1.1672	0.640986923076923
30	Candida sanyaensis	0.2641	1	0.2641	0.7359	0.640986923076923
30	Candida intermedia	0.2642	1	0.2642	0.7358	0.640986923076923
30	Ogataea polymorpha	0.2646	1	0.2646	0.7354	0.640986923076923
30	Cyberlindnera japonica	0.2652	1	0.2652	0.7348	0.640986923076923
30	Teunomyces carpophila	0.2659	3	1.8193	1.1807	0.640986923076923
30	Phaeoacremonium rubrigenum	0.2661	1	0.2661	0.7339	0.640986923076923
30	Cyberlindnera sp.	0.2663	1	0.2663	0.7337	0.640986923076923
30	Cyberlindnera suaveolens	0.2669	1	0.2669	0.7331	0.640986923076923
30	Kuraishia ogatae	0.2678	1	0.2678	0.7322	0.640986923076923
4	Cryptococcus victoriae	0.27	1	0.3082	0.6918	0.640986923076923
30	Cyberlindnera jadinii	0.2717	1	0.2717	0.7283	0.640986923076923
4	Cryptococcus gastricus	0.2738	1	0.3076	0.6924	0.640986923076923
