StrainID	Species_Old	Genus_Old	Phylum	GPS	Lat	Long	Associated	General	Specific	Fruits	Fruit.Family	Fruit.Type	Rotting	Plant.Genus	Plant.Species	Common.Name	Other.Associations	Notes	Set	Morpho	SetID	IsoTemp	Specific.Location	State	Collected.By	X	X.1	Species	Subphylum	Genus
yHKS48	Torulaspora delbrueckii	Torulaspora	Ascomycota	45.084920, -87.586688	45.08492	-87.586688	Tree	Soil	Soil	NA	NA	NA	NA	Quercus	Quercus sp.	Oak	NA	NA	#36a	a	YHKS_#36a	30	Marinette, WI (Red Arrow Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS48	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS502	Torulaspora delbrueckii	Torulaspora	Ascomycota	47.855571, -121.971572	47.855571	-121.971572	Tree	Soil/Plant Matter	Duff	NA	NA	NA	NA	Ilex	Ilex sp.	Holly	NA	NA	#192	a	YHKS_#192	30	Monroe, WA	Washington	Emily Baker	TRUE	yHKS502	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS507	Torulaspora delbrueckii	Torulaspora	Ascomycota	47.855571, -121.971572	47.855571	-121.971572	Tree	Plant Matter	Fruit	Plum	Rosaceae	Drupe	NA	Prunus	Prunus mume	Chinese Plum	NA	NA	#184	a	YHKS_#184	22	Monroe, WA	Washington	Emily Baker	TRUE	yHKS507	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS542	Torulaspora delbrueckii	Torulaspora	Ascomycota	47.855571, -121.971572	47.855571	-121.971572	Tree	Soil/Plant Matter	Duff	NA	NA	NA	NA	Ilex	Ilex sp.	Holly	NA	NA	#192	a	YHKS_#192	10	Monroe, WA	Washington	Emily Baker	TRUE	yHKS542	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS572	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Bark	NA	NA	NA	NA	Quercus	Quercus ellipsoidalis	Hill's Oak	NA	NA	#220	a	YHKS_#220	22	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS572	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS574	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Bark	NA	NA	NA	NA	Acer	Acer saccharum	Sugar Maple	NA	NA	#224	a	YHKS_#224	22	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS574	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS575	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Bark	NA	NA	NA	NA	Acer	Acer saccharum	Sugar Maple	NA	NA	#224	b	YHKS_#224	22	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS575	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS580	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer saccharum	Sugar Maple	NA	NA	#225	a	YHKS_#225	30	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS580	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS582	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Bark	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#232	a	YHKS_#232	30	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS582	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS583	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Bark	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#232	b	YHKS_#232	30	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS583	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS599	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Bark	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#230	a	YHKS_#230	22	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS599	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS601	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Bark	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#232	a	YHKS_#232	22	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS601	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS681	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.060776, -88.402332	43.060776	-88.402332	Tree	Plant Matter	Bark	NA	NA	NA	Rotting	Unknown	Unknown	Unknown	NA	NA	#216	a	YHKS_#216	10	Delafield,WI	Wisconsin	Kayla Sylvester	TRUE	yHKS681	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS687	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer saccharum	Sugar Maple	NA	NA	#225	a	YHKS_#225	10	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS687	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS688	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer saccharum	Sugar Maple	NA	NA	#225	b	YHKS_#225	10	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS688	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS698	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Bark	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#232	b	YHKS_#232	10	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS698	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS705	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Bark	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#238	a	YHKS_#238	10	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS705	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS709	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Bark	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#244	a	YHKS_#244	10	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS709	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS710	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Bark	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#244	b	YHKS_#244	10	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS710	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS711	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Bark	NA	NA	NA	Rotting	Fagus	Fagus grandifolia	American Beech	NA	NA	#245	a	YHKS_#245	10	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS711	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS713	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Bark	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#247	a	YHKS_#247	10	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS713	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS755	Torulaspora delbrueckii	Torulaspora	Ascomycota	44.905387, -89.781280	44.905387	-89.78128	Tree	Plant Matter	Bark	NA	NA	NA	NA	Ulmus	Ulmus sp.	Elm	NA	NA	#280	a	YHKS_#280	30	Marathon county farm, WI	Wisconsin	S. Smead	TRUE	yHKS755	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS777	Torulaspora delbrueckii	Torulaspora	Ascomycota	36.023225, -80.303844	36.023225	-80.303844	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer saccharinum	Silver Maple	NA	NA	#278	a	YHKS_#278	22	2667 Evans Rd, Winston-Salem, NC (27127)	North Carolina	Leslie Shown	TRUE	yHKS777	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS8	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.161611, -88.188019	43.161611	-88.188019	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Acer	Acer sp.	Maple	NA	NA	#20	a	YHKS_#20	30	Lisbon, WI (Menominee Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS8	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS83	Torulaspora delbrueckii	Torulaspora	Ascomycota	45.084920, -87.586688	45.08492	-87.586688	Tree	Plant Matter	Bark	NA	NA	NA	NA	Acer	Acer sp.	Maple	NA	NA	#26	a	YHKS_#26	30	Marinette, WI (Red Arrow Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS83	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS9	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.219818, -88.185685	43.219818	-88.185685	Tree	Plant Matter	Bark	NA	NA	NA	NA	Acer	Acer sp.	Maple	NA	NA	#5	a	YHKS_#5	30	Richfield, WI (Minikani)	Wisconsin	Kayla Sylvester	TRUE	yHKS9	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS90	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.795677, -88.442040	43.795677	-88.44204	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer sp.	Maple	NA	NA	#37	a	YHKS_#37	30	Fon du Lac, WI (Lakeside Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS90	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS91	Torulaspora delbrueckii	Torulaspora	Ascomycota	45.084920, -87.586688	45.08492	-87.586688	Tree	Plant Matter	Bark	NA	NA	NA	NA	Cercis	Cercis canadensis	Eastern Redbud	NA	NA	#40	a	YHKS_#40	30	Marinette, WI (Red Arrow Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS91	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKS94	Torulaspora delbrueckii	Torulaspora	Ascomycota	45.084920, -87.586688	45.08492	-87.586688	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer sp.	Maple	NA	NA	#38	a	YHKS_#38	30	Marinette, WI (Red Arrow Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS94	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
YHMH111	Torulaspora delbrueckii	Torulaspora	Ascomycota	42.945676, -89.584782	42.945676	-89.584782	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	a	YHMH_50	10	verona Town, Bud Jackson school Forest, WI	Wisconsin	Max Haase	TRUE	YHMH111	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
YHMH112	Torulaspora delbrueckii	Torulaspora	Ascomycota	42.945676, -89.584782	42.945676	-89.584782	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	b	YHMH_50	10	verona Town, Bud Jackson school Forest, WI	Wisconsin	Max Haase	TRUE	YHMH112	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
YHMH113	Torulaspora delbrueckii	Torulaspora	Ascomycota	42.945676, -89.584782	42.945676	-89.584782	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	c	YHMH_50	10	verona Town, Bud Jackson school Forest, WI	Wisconsin	Max Haase	TRUE	YHMH113	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
YHMH118	Torulaspora delbrueckii	Torulaspora	Ascomycota	42.945431, -89.584102	42.945431	-89.584102	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	49	c	YHMH_49	10	verona Town, Bud Jackson school Forest, WI	Wisconsin	Max Haase	TRUE	YHMH118	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHMJ554	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.761667, 71.668611	43.761667	-71.668611	Tree	Plant Matter	Bark	NA	NA	NA	NA	Betula	Betula sp.	Birch	NA	NA	59	a	YHMJ_59	22	New Hampshire	New Hampshire	C. T. Hittinger	TRUE	yHMJ554	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHMJ562	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.761944, 71.668611	43.761944	-71.668611	Tree	Plant Matter	Bark	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	62	a	YHMJ_62	22	New Hampshire	New Hampshire	C. T. Hittinger	TRUE	yHMJ562	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHMJ568	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.761944, 71.668611	43.761944	-71.668611	Soil	Soil/Plant Matter	Duff	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	64	a	YHMJ_64	22	New Hampshire	New Hampshire	C. T. Hittinger	TRUE	yHMJ568	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL131	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.070035, -89.421173	43.070035	-89.421173	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Ginkgo	Ginkgo biloba	Ginkgo	NA	NA	smiley2B	e	YHQL_smiley2B	22	local Madison, WI backyard	Wisconsin	NA	TRUE	yHQL131	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL219	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.025855, -89.844325	43.025855	-89.844325	Tree	Soil	Soil	NA	NA	NA	NA	Carya	Carya ovata	Shgbark Hickory	NA	NA	5	a	YHQL_5	22	Blue Mound State Park	Wisconsin	Sarah Wright	TRUE	yHQL219	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL225	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.189523, -89.622457	43.189523	-89.622457	Tree	Plant Matter	Bark	NA	NA	NA	NA	Quercus	Quercus velutina	Black Oak	NA	NA	15	a	YHQL_15	22	Indian Lake County Park	Wisconsin	Sarah Wright	TRUE	yHQL225	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL228	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.189523, -89.622457	43.189523	-89.622457	Tree	Soil	Soil	NA	NA	NA	NA	Quercus	Quercus velutina	Black Oak	NA	NA	16	a	YHQL_16	30	Indian Lake County Park	Wisconsin	Sarah Wright	TRUE	yHQL228	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL238	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.025855, -89.844325	43.025855	-89.844325	Tree	Plant Matter	Bark	NA	NA	NA	NA	Ostrya	Ostrya virginiana	American hophornbeam	NA	NA	7	a	YHQL_7	30	Blue Mound State Park	Wisconsin	Sarah Wright	TRUE	yHQL238	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL280	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.025855, -89.844325	43.025855	-89.844325	Tree	Soil	Soil	NA	NA	NA	NA	Carya	Carya ovata	Shgbark Hickory	NA	NA	10	c	YHQL_10	10	Blue Mound State Park	Wisconsin	Sarah Wright	TRUE	yHQL280	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL290	Torulaspora delbrueckii	Torulaspora	Ascomycota	32.173036, -81.076034	32.173036	-81.076034	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	QL#4	a	YHQL_QL#4	30	Savannah National Wildlife Refuge Hardeeville, SC	South Carolina	Anna Kropornicka and Kurt Ehlert	TRUE	yHQL290	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL296	Torulaspora delbrueckii	Torulaspora	Ascomycota	39.871665, -79.492928	39.871665	-79.492928	Tree	Plant Matter	Plant Matter	NA	NA	NA	Rotting	Unknown	Unknown	Unknown	NA	NA	QL#11	a	YHQL_QL#11	30	Ohiopyle, PA	Pennsylvania	Scott Zasadil	TRUE	yHQL296	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL3	Torulaspora delbrueckii	Torulaspora	Ascomycota	44.934125, -123.036923	44.934125	-123.036923	Tree	Soil	Soil	NA	NA	NA	NA	Quercus	Quercus sp.	Oak	NA	NA	OR 2	a	YHQL_OR 2	30	Salem, OR (Pringle Creek)	Oregon	Quinn Langdon	TRUE	yHQL3	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL310	Torulaspora delbrueckii	Torulaspora	Ascomycota	37.883873, -87.557092	37.883873	-87.557092	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	QL#1	b	YHQL_QL#1	22	John James Audubon State Park Henderson, KY	Kentucky	Anna Kropornicka and Kurt Ehlert	TRUE	yHQL310	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL311	Torulaspora delbrueckii	Torulaspora	Ascomycota	32.173036, -81.076034	32.173036	-81.076034	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	QL#4	a	YHQL_QL#4	22	Savannah National Wildlife Refuge Hardeeville, SC	South Carolina	Anna Kropornicka and Kurt Ehlert	TRUE	yHQL311	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL314	Torulaspora delbrueckii	Torulaspora	Ascomycota	39.871665, -79.492928	39.871665	-79.492928	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	QL#10	a	YHQL_QL#10	22	Ohiopyle, PA	Pennsylvania	Scott Zasadil	TRUE	yHQL314	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL358	Torulaspora delbrueckii	Torulaspora	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Tree	Plant Matter	Bark	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	AS#6	b	YHQL_AS#6	30	Chadwick, Illinois-Sheddan property	Illinois	Angela Sheddan	TRUE	yHQL358	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL362	Torulaspora delbrueckii	Torulaspora	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	small wetland	AS#10	a	YHQL_AS#10	30	Chadwick, Illinois-Sheddan property	Illinois	Angela Sheddan	TRUE	yHQL362	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL366	Torulaspora delbrueckii	Torulaspora	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Tree	Soil	Soil	NA	NA	NA	NA	Morus	Morus alba	White Mulberry	NA	riverbank/under mulberry	AS#11	c	YHQL_AS#11	30	Chadwick, Illinois-Sheddan property	Illinois	Angela Sheddan	TRUE	yHQL366	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL373	Torulaspora delbrueckii	Torulaspora	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Soil	Soil	Soil	NA	NA	NA	NA	Prunus	Prunus sp.	Plum	NA	under wild plum	AS#16	a	YHQL_AS#16	30	Chadwick, Illinois-Sheddan property	Illinois	Angela Sheddan	TRUE	yHQL373	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL374	Torulaspora delbrueckii	Torulaspora	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Soil	Soil	Soil	NA	NA	NA	NA	Prunus	Prunus sp.	Plum	NA	under wild plum	AS#16	b	YHQL_AS#16	30	Chadwick, Illinois-Sheddan property	Illinois	Angela Sheddan	TRUE	yHQL374	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL398	Torulaspora delbrueckii	Torulaspora	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Miscellaneous	Miscellaneous	Wood	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	submerged	AS#9	c	YHQL_AS#9	22	Chadwick, Illinois-Sheddan property	Illinois	Angela Sheddan	TRUE	yHQL398	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL416	Torulaspora delbrueckii	Torulaspora	Ascomycota	39.467750, -123.156111	39.46775	-123.156111	Miscellaneous	Miscellaneous	Flotsam	NA	NA	NA	NA	NA	NA	NA	NA	Eel river flotsom, stuff caught on tree branch during spring runnoff	QL#27	a	YHQL_QL#27	30	Potter Valley, CA	California	Harry Iwatsuki	TRUE	yHQL416	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL430	Torulaspora delbrueckii	Torulaspora	Ascomycota	39.871665, -79.492928	39.871665	-79.492928	Lichen	Lichen	Lichen	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	QL#12	a	YHQL_QL#12	10	Ohiopyle, PA	Pennsylvania	Scott Zasadil	TRUE	yHQL430	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL431	Torulaspora delbrueckii	Torulaspora	Ascomycota	39.871665, -79.492928	39.871665	-79.492928	Tree	Plant Matter	Needles	NA	NA	NA	Rotting	Pinus	Pinus sp.	Pine	NA	NA	QL#13	a	YHQL_QL#13	10	Ohiopyle, PA	Pennsylvania	Scott Zasadil	TRUE	yHQL431	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL458	Torulaspora delbrueckii	Torulaspora	Ascomycota	40.396,-80.13	40.396	-80.13	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	Soil from a gulley at the base of cliff	KS#288	b	YHQL_KS#288	10	Collier Townshiop, PA/walkers mill, Pan Handel trail	Pennsylvania	Zasadil	TRUE	yHQL458	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL462	Torulaspora delbrueckii	Torulaspora	Ascomycota	40.382764, -80.048519	40.382764	-80.048519	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	Soil from bushy area, backyard of residence	KS#292	b	YHQL_KS#292	10	126 Academy ave, Pittsburgh, PA 15228	Pennsylvania	Zasadil	TRUE	yHQL462	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL464	Torulaspora delbrueckii	Torulaspora	Ascomycota	40.382764, -80.048519	40.382764	-80.048519	Plant	Soil	Soil	NA	NA	NA	NA	Zea	Zea mays	Corn	NA	Soil from around corn, backyard of residence	KS#293	b	YHQL_KS#293	10	126 Academy ave, Pittsburgh, PA 15228	Pennsylvania	Zasadil	TRUE	yHQL464	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL466	Torulaspora delbrueckii	Torulaspora	Ascomycota	33.947037, -83.360477	33.947037	-83.360477	Tree	Plant Matter	Bark	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	bark from unidentified hardwood tree	KS#295	a	YHQL_KS#295	10	120 milburn ave, athens, GA, 30605	Georgia	Zasadil	TRUE	yHQL466	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL491	Torulaspora delbrueckii	Torulaspora	Ascomycota	32.173036, -81.076034	32.173036	-81.076034	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	QL#4	b	YHQL_QL#4	10	Savannah National Wildlife Refuge Hardeeville, SC	South Carolina	Anna Kropornicka and Kurt Ehlert	TRUE	yHQL491	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL507	Torulaspora delbrueckii	Torulaspora	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Miscellaneous	Miscellaneous	Wood	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	submerged	AS#9	a	YHQL_AS#9	10	Chadwick, Illinois-Sheddan property	Illinois	Angela Sheddan	TRUE	yHQL507	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL692	Torulaspora delbrueckii	Torulaspora	Ascomycota	44.843134, -88.360218	44.843134	-88.360218	Tree	Plant Matter	Bark	NA	NA	NA	Rotting	Acer	Acer negundo	Boxelder Maple	NA	decaying	4	a	YHQL_4	22	Pulcifer Park: STH 22 at CTH C, Shawano County WI	Wisconsin	Sorlie, Lisa	TRUE	yHQL692	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL73	Torulaspora delbrueckii	Torulaspora	Ascomycota	39.640228, -86.170205	39.640228	-86.170205	Plant	Moss	Moss	NA	NA	NA	NA	Unknown	Unknown	Moss	NA	NA	AH5	a	YHQL_AH5	30	591 Watterson Ct, Indianapolis, IN 46217	Indiana	Amanda Hulfachor	TRUE	yHQL73	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL79	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.070035, -89.421173	43.070035	-89.421173	Tree	Plant Matter	Seed	NA	NA	NA	NA	Ginkgo	Ginkgo biloba	Ginkgo	NA	NA	smiley2A	a	YHQL_smiley2A	30	local Madison, WI backyard	Wisconsin	NA	TRUE	yHQL79	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL81	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.070035, -89.421173	43.070035	-89.421173	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Ginkgo	Ginkgo biloba	Ginkgo	NA	NA	smiley2B	d	YHQL_smiley2B	30	local Madison, WI backyard	Wisconsin	NA	TRUE	yHQL81	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHQL83	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.070035, -89.421173	43.070035	-89.421173	Tree	Plant Matter	Fruit	Pear	Rosaceae	Pome	NA	Pyrus	Pyrus sp.	NA	NA	NA	smiley3B	a	YHQL_smiley3B	30	local Madison, WI backyard	Wisconsin	NA	TRUE	yHQL83	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHRM10	Torulaspora delbrueckii	Torulaspora	Ascomycota	NA	NA	NA	Tree	Soil	Soil	NA	NA	NA	NA	Ulmus	Ulmus rubra	Slippery Elm	NA	NA	2.2	a	YHRM_2.2	22	Picnic Point, Madison WI	Wisconsin	RM	TRUE	yHRM10	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHRM3	Torulaspora delbrueckii	Torulaspora	Ascomycota	NA	NA	NA	Tree	Moss	Moss	NA	NA	NA	NA	Ulmus	Ulmus sp.	Elm	Moss	NA	1.13	a	YHRM_1.13	22	Picnic Point, Madison WI	Wisconsin	RM	TRUE	yHRM3	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHRM40	Torulaspora delbrueckii	Torulaspora	Ascomycota	NA	NA	NA	Tree	Soil	Soil	NA	NA	NA	NA	Ulmus	Ulmus rubra	Slippery Elm	NA	NA	56	a	YHRM_56	10	Picnic Point, Madison WI	Wisconsin	RM	TRUE	yHRM40	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
