IsoTemp	Yeast_sp	Observed	pval
30	Lachancea quebecensis	1	0.5956
30	Lachancea thermotolerans	14	0.116
30	Lecythophora sp.	7	0
30	Metschnikowia pulcherrima sp. complex	30	0
30	Metschnikowia reukaufii	1	0.7773
30	Metschnikowia sp.	3	0.018
30	Metschnikowia viticola	2	0.3855
30	Meyerozyma caribbica	10	0.0134
30	Meyerozyma guilliermondii	1	0.5939
30	Naganishia albida	1	0.4501
30	Naganishia friedmannii	1	0.2577
30	Nakazawaea anatomiae/populi sp. complex	5	0.4612
30	Nakazawaea holstii	7	0.2038
30	Ogataea dorogensis	1	0.2615
30	Ogataea naganishii	2	0.0658
30	Ogataea pini	1	0.2637
30	Ogataea polymorpha	1	0.2646
30	Ogataea sp.	1	0.2578
30	Ogataea zsoltii	1	0.2639
30	Phaeoacremonium rubrigenum	1	0.2661
30	Pichia fermentans	5	0.4101
30	Pichia kluyveri	1	0.776
30	Pichia kudriavzevii	7	0.0035
30	Pichia manshurica	8	0.0033
30	Pichia membranifaciens	6	0.0118
30	Pichia pastoris	1	0.261
30	Pichia scaptomyzae	1	0.4612
30	Pichia sp.	2	0.1705
30	Pichia terricola	1	0.4531
30	Rhodosporidiobolus colostri	1	0.8357
30	Rhodotorula mucilaginosa	2	0.3909
30	Saccharomyces cerevisiae	15	5.00E-04
30	Saccharomyces paradoxus	21	0.0092
30	Scheffersomyces cyptocercus	1	0.5991
30	Scheffersomyces ergatensis	1	0.9976
30	Scheffersomyces spartinae	3	0.0574
30	Scheffersomyces stipitis	1	0.261
30	Schizosaccharomyces japonicus	4	0.004
30	Schwanniomyces polymorphus	2	0.4857
30	Schwanniomyces pseudopolymorphus	3	0.2563
30	Schwanniomyces vanrijiae	1	0.5949
30	Starmerella bombicola	1	0.4473
30	Sugiyamaella chiloensis	1	0.2618
30	Sugiyamaella lignohabitans	1	0.4573
30	Sugiyamaella paludigena	2	0.1719
30	Sugiyamaella smithiae	1	0.4494
30	Suhomyces ambrosiae	1	0.7015
30	Suhomyces atakaporum	1	0.2586
30	Suhomyces bolitotheri	4	0.4527
30	Suhomyces xylopsoci/prunicola/pyralidae	2	0.1682
30	Teunomyces carpophila	3	0.2659
30	Teunomyces cretensis/kruisii complex	1	0.9986
30	Torulaspora delbrueckii	48	0.0022
30	Trichosporon asahii	1	0.2607
30	Trichosporon japonicum	1	0.2564
30	Vanrija humicola	6	0.0053
30	Wickerhamomyces anomalus	9	0.0528
30	Wickerhamomyces hampshirensis	1	0.4539
30	Wickerhamomyces hampsirensis	1	0.2599
30	Wickerhamomyces onychis	2	0.2773
30	Zygoascus meyerae/hellenicus	1	0.2591
30	Zygowilliopsis californica	1	0.7019
4	Candida railenensis	1	0.8841
4	Candida sake	2	0.6306
4	Caulerpa cupressoides	1	0.0512
4	Coniochaeta ligniaria	1	0.1007
4	Cryptococcus aquaticus	1	0.0507
4	Cryptococcus filicatus	1	0.0493
4	Cryptococcus flavescens	1	0.3971
4	Cryptococcus gastricus	1	0.2738
4	Cryptococcus sp.	3	0.0057
4	Cryptococcus victoriae	1	0.27
4	Curvibasidium cygneicollum	4	0.0185
4	Cystofilobasidium capitatum	10	0.0017
4	Cystofilobasidium macerans	1	0.0501
4	Diozsegia sp.	1	0.0488
4	Dothiora sorbi	1	0.0464
4	Goffeauzyma gastrica	1	0.1022
4	Holtermanniella takashimae	1	0.0982
4	Krasilnikovozyma huempii	1	0.0527
4	Kwoniella heavenensis	2	0.0026
4	Kwoniella shandongensis	1	0.1492
4	Leucosporidium fellii	1	0.104
4	Leucosporidium scottii	1	0.3809
4	Metschnikowia pulcherrima sp. complex	2	0.8304
4	Mrakia aquatica	1	0.0541
4	Mrakia blollopis	5	1.00E-04
4	Mrakia frigida	2	0.0469
4	Mrakia gelida	11	1.00E-04
4	Mrakia sp.	13	5.00E-04
4	Mrakiella aquatica	1	0.1412
4	Mrakiella cryoconiti	3	2.00E-04
4	Papiliotrema flavescens	1	0.2301
4	Phenoliferia glacialis	1	0.0509
4	Pueraria montana	1	0.0975
4	Rhodotorula kratochvilovae	2	0.0024
4	Rhodotorula nothofagi	1	0.5864
4	Rhodotorula sp.	1	0.055
4	Sporidiobolales sp.	1	0.0482
4	Tausonia pullulans	1	0.4317
4	Teunomyces cretensis/kruisii complex	2	0.2978
4	Thelebolus sp.	1	0.0515
