Specific	Species	pval	Observed	Expected	Difference	BH_Padj
Bark	Candida boleticola	0.8284	1	1.591	-0.591	0.890685714285714
Bark	Kazachstania servazzii	0.8306	1	1.5812	-0.5812	0.890694902548726
Plant Matter	Mrakia gelida	0.8309	1	1.7155	-0.7155	0.890694902548726
Plant Matter	Metschnikowia pulcherrima sp. complex	0.8337	1	1.7242	-0.7242	0.891935820895522
Fungus	Mrakia gelida	0.8354	2	3.1585	-1.1585	0.891935820895522
Bark	Pichia membranifaciens	0.8358	1	1.5834	-0.5834	0.891935820895522
Fruit	Lachancea kluyveri	0.8377	1	1.7388	-0.7388	0.892631147540984
Soil	Cystofilobasidium infirmominatum	0.851	1	1.6131	-0.6131	0.905453869047619
Soil	Candida pseudoglaebosa	0.8541	1	1.5914	-0.5914	0.907401931649331
Soil	Yamadazyma mexicana	0.856	1	1.6083	-0.6083	0.908071216617211
Duff	Metschnikowia pulcherrima sp. complex	0.8616	1	1.9064	-0.9064	0.911413461538462
Soil	Hanseniaspora vineae	0.8617	5	6.7892	-1.7892	0.911413461538462
Bark	Leucosporidium scottii	0.865	1	1.7926	-0.7926	0.913552437223043
Leaves	Saccharomyces cerevisiae	0.8675	1	1.9143	-0.9143	0.914841445427729
Leaves	Lachancea thermotolerans	0.8753	2	3.4557	-1.4557	0.92170765832106
Bark	Rhodotorula nothofagi	0.8786	2	3.3508	-1.3508	0.92382205882353
Soil	Tausonia pullulans	0.8867	2	3.2498	-1.2498	0.930969897209985
Soil	Metschnikowia pulcherrima sp. complex	0.8902	13	16.4893	-3.4893	0.932326500732064
Duff	Hanseniaspora uvarum	0.8906	1	2.1382	-1.1382	0.932326500732064
Fungus	Kazachstania martiniae	0.8958	1	2.172	-1.172	0.936399122807018
Soil	Rhodotorula fujisanensis	0.9013	1	1.9303	-0.9303	0.94077299270073
Fungus	Candida railenensis	0.9032	1	2.2101	-1.2101	0.941052401746725
Soil	Cryptococcus victoriae	0.9042	1	1.9284	-0.9284	0.941052401746725
Fungus	Lachancea thermotolerans	0.9132	1	2.3586	-1.3586	0.949037790697674
Fungus	Candida sake	0.9192	1	2.4162	-1.4162	0.95388679245283
Plant Matter	Mrakia sp.	0.9284	1	2.5663	-1.5663	0.959951798561151
Leaves	Mrakia sp.	0.929	4	7.0187	-3.0187	0.959951798561151
Fungus	Cystofilobasidium capitatum	0.931	2	4.1838	-2.1838	0.959951798561151
Bark	Pichia fermentans	0.9331	1	2.404	-1.404	0.959951798561151
Bark	Pichia manshurica	0.9331	1	2.3903	-1.3903	0.959951798561151
Fruit	Kazachstania martiniae	0.9331	1	2.5348	-1.5348	0.959951798561151
Fruit	Candida railenensis	0.936	1	2.618	-1.618	0.961095408895265
Soil	Kluyveromyces marxianus	0.9369	2	3.8753	-1.8753	0.961095408895265
Soil	Pichia fermentans	0.9387	2	3.8581	-1.8581	0.961562320916906
Fungus	Mrakia sp.	0.9591	2	4.7597	-2.7597	0.981053648068669
Bark	Cyberlindnera saturnus	0.9614	2	4.5603	-2.5603	0.982001428571429
Fruit	Torulaspora delbrueckii	0.9642	4	7.8852	-3.8852	0.983456490727532
Bark	Wickerhamomyces anomalus	0.9693	1	3.1581	-2.1581	0.9871875
Leaves	Candida railenensis	0.9719	1	3.2925	-2.2925	0.9871875
Soil	Leucosporidium scottii	0.972	1	2.9094	-1.9094	0.9871875
Soil	Cryptococcus flavescens	0.9781	1	3.2159	-2.2159	0.991973758865248
Bark	Meyerozyma caribbica	0.9817	1	3.5908	-2.5908	0.994214589235128
Leaves	Saccharomyces paradoxus	0.9844	1	3.8982	-2.8982	0.994233757062147
Soil	Nakazawaea holstii	0.9845	2	5.1901	-3.1901	0.994233757062147
Soil	Rhodotorula nothofagi	0.9892	2	5.5098	-3.5098	0.997571227080395
Fungus	Torulaspora delbrueckii	0.9933	2	6.728	-4.728	0.99939099859353
Bark	Hanseniaspora uvarum	0.9938	5	11.3236	-6.3236	0.99939099859353
Soil	Curvibasidium cygneicollum	0.9993	1	6.1242	-5.1242	1
Bark	Kazachstania martiniae	0.9997	1	6.9156	-5.9156	1
Leaves	Torulaspora delbrueckii	0.9998	2	9.9319	-7.9319	1
Soil	Hanseniaspora uvarum	1	7	18.3653	-11.3653	1
