Specific	Species	pval	Observed	Expected	Difference	BH_Padj
Leaves/Bark	Suhomyces ambrosiae	0.0174	1	0.0175	0.9825	0.13178431372549
Flower/Leaves	Metschnikowia reukaufii	0.0176	1	0.0176	0.9824	0.13178431372549
Moss	Diozsegia sp.	0.018	1	0.018	0.982	0.13178431372549
Leaves/Bark	Rhodotorula glutinis	0.0181	1	0.0182	0.9818	0.13178431372549
Pine Cone	Nakazawaea holstii	0.0181	2	0.1965	1.8035	0.13178431372549
Moss	Cephalosporium sp.	0.0185	1	0.0185	0.9815	0.13178431372549
Duff	Lachancea fermentati	0.0186	3	0.5791	2.4209	0.13178431372549
Mold	Scheffersomyces ergatensis	0.0186	1	0.0188	0.9812	0.13178431372549
Soil/Grass	Candida tropicalis	0.0186	1	0.0186	0.9814	0.13178431372549
Humus	Schizosaccharomyces japonicus	0.0187	1	0.0189	0.9811	0.13178431372549
Wood	Saturnispora zaruensis	0.0188	1	0.0188	0.9812	0.13178431372549
Moss	Pichia pastoris	0.0198	1	0.0198	0.9802	0.137446601941748
Lichen	Lachancea thermotolerans/quebecensis	0.0202	1	0.0202	0.9798	0.138875
Fungus	Suhomyces ambrosiae	0.0206	2	0.2473	1.7527	0.14027619047619
Twigs	Debaryomyces nepalensis	0.0209	1	0.021	0.979	0.140327102803738
Wood	Rhodotorula babjevae	0.021	1	0.0211	0.9789	0.140327102803738
Duff	Schwanniomyces polymorphus	0.0215	2	0.2301	1.7699	0.142337962962963
Sand	Leucosporidium creatinivora	0.0221	1	0.0221	0.9779	0.144276785714286
Twigs	Naganishia albida	0.0224	1	0.0224	0.9776	0.144276785714286
Wood	Sugiyamaella lignohabitans	0.0225	1	0.0225	0.9775	0.144276785714286
Fruit/Leaves	Candida parapsilosis	0.0226	1	0.0226	0.9774	0.144276785714286
Ash	Pichia fermentans	0.023	1	0.0232	0.9768	0.144817796610169
Sap	Candida mycetangii	0.0231	1	0.0233	0.9767	0.144817796610169
Fruit/Leaves	Debaryomyces nepalensis	0.0237	1	0.0238	0.9762	0.144817796610169
Sand	Candida sanyaensis	0.0237	1	0.0237	0.9763	0.144817796610169
Sand	Cadophora malorum	0.0238	1	0.0238	0.9762	0.144817796610169
Flower	Metschnikowia reukaufii	0.0239	1	0.0241	0.9759	0.144817796610169
Leaves	Kwoniella shandongensis	0.0248	2	0.2751	1.7249	0.148909090909091
Pine Cone	Suhomyces xylopsoci/prunicola/pyralidae	0.0251	1	0.0253	0.9747	0.148909090909091
Fruit/Leaves	Rhodotorula kratochvilovae	0.0252	1	0.0255	0.9745	0.148909090909091
Fruit	Candida albicans	0.0255	2	0.2856	1.7144	0.149446721311475
Soil/Plant Matter	Kazachstania martiniae	0.0259	2	0.2623	1.7377	0.150376984126984
Humus	Cryptococcus victoriae	0.0261	1	0.0262	0.9738	0.150376984126984
Pine Cone	Pichia galeiformis	0.0264	1	0.0265	0.9735	0.150376984126984
Flower	Cystofilobasidium infirmominatum	0.0265	1	0.027	0.973	0.150376984126984
Leaves	Pichia membranifaciens	0.0268	3	0.7255	2.2745	0.15088188976378
Soil/Plant Matter	Mrakiella cryoconiti	0.0274	1	0.0282	0.9718	0.1530546875
Humus	Schwanniomyces polymorphus	0.0289	1	0.0292	0.9708	0.160182170542636
Flower	Cryptococcus victoriae	0.0294	1	0.0299	0.9701	0.161557251908397
Soil/Twigs/Fungus	Pichia manshurica	0.0296	1	0.03	0.97	0.161557251908397
Bark	Tausonia pullulans	0.03	5	1.9869	3.0131	0.162353383458647
Fruit	Cryptococcus flavescens	0.0302	3	0.728	2.272	0.162353383458647
Fungus	Pichia fermentans	0.0308	3	0.7332	2.2668	0.16434328358209
Plant Matter	Vishniacozyma dimennae	0.0313	1	0.0313	0.9687	0.165606617647059
Compost	Saccharomyces paradoxus	0.0315	1	0.0315	0.9685	0.165606617647059
Plant Matter	Lachancea thermotolerans	0.033	4	1.26	2.74	0.171496376811594
Lichen	Lecythophora sp.	0.0331	1	0.0337	0.9663	0.171496376811594
Soil	Kazachstania kunashirensis	0.0336	3	0.9729	2.0271	0.172110714285714
Duff	Rhodotorula graminis	0.0337	1	0.0337	0.9663	0.172110714285714
Plant Matter	Ogataea polymorpha	0.0344	1	0.0344	0.9656	0.173211267605634
Soil	Candida vartiovaarae	0.0344	3	0.9826	2.0174	0.173211267605634
Plant Matter	Candida montana	0.0349	1	0.0349	0.9651	0.174342465753425
Duff	Candida californica	0.0354	1	0.0354	0.9646	0.174342465753425
Bark	Cryptococcus wisconsinensis	0.0356	2	0.3873	1.6127	0.174342465753425
Soil/Plant Matter	Candida pseudoglaebosa	0.0356	1	0.0365	0.9635	0.174342465753425
