Yeast_sp	Plant_genus	pval	Observed	Expected	Difference	BH_Padj
Vanrija humicola	Artomyces	0.016	1	0.016	0.984	0.100968965517241
Scheffersomyces cyptocercus	Fagus	0.0162	2	0.2668	1.7332	0.100968965517241
Coniochaeta hoffmannii	Tsuga	0.0165	1	0.0165	0.9835	0.100968965517241
Cryptococcus victoriae	Trifolium	0.0165	1	0.0165	0.9835	0.100968965517241
Leucosporidium scottii	Gleditsia	0.0166	1	0.0167	0.9833	0.100968965517241
Cryptococcus musci	Tsuga	0.0167	1	0.0167	0.9833	0.100968965517241
Lachancea thermotolerans	Thuja	0.0167	3	0.5842	2.4158	0.100968965517241
Kluyveromyces marxianus	Acer	0.0169	3	0.6246	2.3754	0.100968965517241
Papiliotrema wisconsinensis	Equisetum	0.0172	1	0.0172	0.9828	0.100968965517241
Teunomyces carpophila	Ailanthus	0.0172	1	0.0172	0.9828	0.100968965517241
Hanseniaspora vineae	Rhododendron	0.0173	2	0.2175	1.7825	0.100968965517241
Mrakia blollopis	Rudbeckia	0.0174	1	0.0175	0.9825	0.100968965517241
Metschnikowia viticola	Betula	0.0176	2	0.2388	1.7612	0.100968965517241
Candida zeylanoides	Tsuga	0.0177	1	0.0177	0.9823	0.100968965517241
Torulaspora delbrueckii	Ulmus	0.0177	4	1.0844	2.9156	0.100968965517241
Cyberlindnera saturnus	Rudbeckia	0.0178	1	0.018	0.982	0.100968965517241
Mrakia gelida	Tsuga	0.0178	3	0.5719	2.4281	0.100968965517241
Cryptococcus surugaensis	Fagus	0.0181	2	0.2641	1.7359	0.101793162393162
Cryptococcus tahquamenonensis	Tsuga	0.0183	1	0.0183	0.9817	0.102045762711864
Candida savonica	Fagus	0.0189	2	0.2759	1.7241	0.103322314049587
Lachancea nothofagi	Taxus	0.0189	1	0.019	0.981	0.103322314049587
Hanseniaspora vineae	Salix	0.019	2	0.2262	1.7738	0.103322314049587
Metschnikowia reukaufii	Arctostaphylos	0.0194	1	0.0194	0.9806	0.104317073170732
Candida boidinii	Thuja	0.0195	1	0.0195	0.9805	0.104317073170732
Lachancea waltii	Ostrya	0.0197	1	0.0197	0.9803	0.104537096774194
Candida albicans	Arctostaphylos	0.0204	1	0.0207	0.9793	0.106606201550388
Papiliotrema wisconsinensis	Ostrya	0.0207	1	0.0209	0.9791	0.106606201550388
Candida mycetangii	Pinus	0.0208	2	0.2377	1.7623	0.106606201550388
Candida mycetangii	Fagus	0.0209	3	0.6733	2.3267	0.106606201550388
Lachancea thermotolerans/quebecensis	Ostrya	0.0209	1	0.0209	0.9791	0.106606201550388
Rhodotorula sp.	Rubus	0.022	1	0.022	0.978	0.111353846153846
Torulaspora microellipsoides	Quercus	0.0225	2	0.3053	1.6947	0.113015267175573
Tremella moriformis	Thuja	0.0229	1	0.0229	0.9771	0.113779166666667
Mrakiella aquatica	Amelanchier	0.0232	1	0.0235	0.9765	0.113779166666667
Dothiora oleae	Rubus	0.0239	1	0.0239	0.9761	0.113779166666667
Suhomyces bolitotheri	Fagus	0.0239	4	1.2252	2.7748	0.113779166666667
Kwoniella heavenensis	Prunus	0.024	1	0.024	0.976	0.113779166666667
Trichosporon porosum	Quercus	0.0243	4	1.2541	2.7459	0.113779166666667
Leucosporidium scottii	Pseudotsuga	0.0244	1	0.0244	0.9756	0.113779166666667
Mrakia blollopis	Artomyces	0.0244	1	0.0246	0.9754	0.113779166666667
Naganishia friedmannii	Rubus	0.0244	1	0.0244	0.9756	0.113779166666667
Candida pseudoglaebosa	Vaccinium	0.0245	1	0.0247	0.9753	0.113779166666667
Rhodosporidiobolus colostri	Tulipa	0.0246	1	0.0247	0.9753	0.113779166666667
Pichia sp.	Rhododendron	0.0248	1	0.025	0.975	0.113779166666667
Schwanniomyces vanrijiae	Morus	0.0249	1	0.025	0.975	0.113779166666667
Cryptococcus saitoi	Rubus	0.0256	1	0.0256	0.9744	0.116171034482759
Schwanniomyces pseudopolymorphus	Pinus	0.0258	2	0.2767	1.7233	0.116276712328767
Pichia occidentalis	Populus	0.0261	1	0.0261	0.9739	0.116828571428571
Sporidiobolales sp.	Populus	0.0267	1	0.0267	0.9733	0.118706756756757
Cystofilobasidium sp.	Populus	0.0274	1	0.0274	0.9726	0.119367948717949
Mrakia aquatica	Rubus	0.0277	1	0.0277	0.9723	0.119367948717949
Schwanniomyces pseudopolymorphus	Taxus	0.0279	1	0.0281	0.9719	0.119367948717949
Cyberlindnera japonica	Populus	0.028	1	0.028	0.972	0.119367948717949
Candida tropicalis	Salix	0.0281	1	0.0283	0.9717	0.119367948717949
Candida xestobii	Salix	0.0281	1	0.0282	0.9718	0.119367948717949
Saccharomyces eubayanus	Acer	0.0282	3	0.7336	2.2664	0.119367948717949
Aureobasidium pullulans	Rubus	0.0283	2	0.2554	1.7446	0.119367948717949
Lecythophora sp.	Alnus	0.0297	1	0.0298	0.9702	0.123834782608696
Kluyveromyces lactis	Carya	0.0299	2	0.2823	1.7177	0.123834782608696
Cystofilobasidium capitatum	Salix	0.0301	3	0.6927	2.3073	0.123834782608696
Kazachstania martiniae	Rhododendron	0.0302	2	0.2757	1.7243	0.123834782608696
Kazachstania serrabonitensis	Juniperus	0.0303	1	0.0307	0.9693	0.123834782608696
Mrakia sp.	Fagus	0.0313	14	8.4423	5.5577	0.127132098765432
Curvibasidium cygneicollum	Claytonia	0.0315	1	0.0316	0.9684	0.127159509202454
Saccharomyces paradoxus	Ostrya	0.0323	2	0.3014	1.6986	0.129593902439024
Hanseniaspora sp.	Picea	0.0325	1	0.0329	0.9671	0.129606060606061
